"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"

1708,"1","спасибо","2025-05-14T07:53:16.505520Z",2945792.0,4.441,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T07:53:16.505520Z","","","","",""

1709,"1","спасибо!","2025-05-14T07:55:05.632201Z",3234340.0,3.688,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Другое""]}","2025-05-14T07:55:05.632201Z","","","","",""

1710,"1","Отлично ","2025-05-14T07:55:13.060344Z",3380332.0,5.391,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T07:55:13.060344Z","","","","",""

1711,"1","Благодарю за оперативное решение проблемы ! ","2025-05-14T07:55:59.392892Z",3381812.0,44.641,5.0,"Нравится скорость отработки заявок","2025-05-14T07:55:59.392892Z","","","","",""

1712,"1","Прекрасный специалист! Побольше таких","2025-05-14T07:56:04.420813Z",3461991.0,2.996,5.0,"Нравится качество работы сотрудников","2025-05-14T07:56:04.420813Z","","","","",""

1713,"1","Спасибо ","2025-05-14T07:56:08.912924Z",3551430.0,3.38,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T07:56:08.912924Z","","","","",""

1714,"1","пересчет, и скорость 

","2025-05-14T07:57:16.770953Z",3572768.0,8.863,1.0,"Нравится скорость отработки заявок","2025-05-14T07:57:16.770953Z","","","","",""

1715,"1","Спасибо за обновление покраски стен","2025-05-14T07:57:34.624758Z",3584536.0,15.521,5.0,"","2025-05-14T07:57:34.624758Z","","","","",""

1716,"1","Спасибо! ","2025-05-14T07:57:52.135655Z",3617808.0,3.586,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T07:57:52.135655Z","","","","",""

1717,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-14T07:57:57.620803Z",3627490.0,4.394,5.0,"Понравилось выполнение заявки","2025-05-14T07:57:57.620803Z","","","","",""

1718,"1","спасибо 

","2025-05-14T07:58:07.143007Z",3657819.0,7.477,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T07:58:07.143007Z","","","","",""

1719,"1","Спасибо ","2025-05-14T07:59:00.968129Z",3691620.0,51.227,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T07:59:00.968129Z","","","","",""

1720,"1","Решили мой вопрос. Спасибо! ","2025-05-14T07:59:55.659392Z",3695420.0,52.793,5.0,"Понравилось выполнение заявки","2025-05-14T07:59:55.659392Z","","","","",""

1721,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-14T08:01:09.399113Z",3716702.0,71.285,5.0,"Нравится качество работы сотрудников","2025-05-14T08:01:09.399113Z","","","","",""

1722,"1","Все исправили ","2025-05-14T08:01:17.683113Z",3726842.0,3.35,5.0,"Понравилось выполнение заявки","2025-05-14T08:01:17.683113Z","","","","",""

1723,"1","спасибо за оперативную работу ","2025-05-14T08:01:26.924115Z",3745025.0,12.719000000000001,5.0,"Нравится качество выполнения заявки","2025-05-14T08:01:33.816509Z","","","","",""

1724,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-14T08:01:44.111754Z",3749719.0,9.105,5.0,"Другое","2025-05-14T08:01:44.111754Z","","","","",""

1725,"1","спасибо большое! теперь не скрипят ","2025-05-14T08:03:41.197316Z",3751364.0,114.957,5.0,"Нравится качество выполнения заявки","2025-05-14T08:03:41.197316Z","","","","",""

1726,"1","спасибо","2025-05-14T08:03:49.649834Z",3766183.0,6.202,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:03:49.649834Z","","","","",""

1727,"1","Спасибо!","2025-05-14T08:03:53.930838Z",3770102.0,3.232,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:03:53.930838Z","","","","",""

1728,"1","Норм","2025-05-14T08:03:59.787054Z",3773834.0,3.312,1.0,"Вопрос решен","2025-05-14T08:03:59.787054Z","","","","",""

1729,"1","спасибо. все прошло очень хорошо","2025-05-14T08:04:06.864984Z",3791959.0,5.405,5.0,"Нравится скорость отработки заявок","2025-05-14T08:04:06.864984Z","","","","",""

1730,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-14T08:05:06.239740Z",3797804.0,50.878,5.0,"Нравится скорость отработки заявок","2025-05-14T08:05:06.239740Z","","","","",""

1731,"1","Все очень оперативно ","2025-05-14T08:05:18.991067Z",3799741.0,10.705,5.0,"Нравится качество работы сотрудников","2025-05-14T08:05:18.991067Z","","","","",""

1732,"1","Огромное спасибо.","2025-05-14T08:05:26.730557Z",3802024.0,6.422,5.0,"Нравится скорость отработки заявок","2025-05-14T08:05:26.730557Z","","","","",""

1733,"1","Все отлично! Спасибо.","2025-05-14T08:05:32.874712Z",3805876.0,4.222,5.0,"Нравится качество работы сотрудников","2025-05-14T08:05:32.875704Z","","","","",""

1734,"1","Хороший мастер","2025-05-14T08:05:37.607495Z",3812092.0,2.975,5.0,"Нравится качество работы сотрудников","2025-05-14T08:05:37.607495Z","","","","",""

1735,"1","Спасибо за оперативность! 

","2025-05-14T08:05:45.742495Z",3815412.0,5.785,5.0,"Нравится качество работы сотрудников","2025-05-14T08:05:45.742495Z","","","","",""

1736,"1","выполнена



","2025-05-14T08:05:55.003499Z",3820641.0,7.734,5.0,"Понравилось выполнение заявки","2025-05-14T08:05:55.003499Z","","","","",""

1737,"1","Все супер, Мастер 👍","2025-05-14T08:06:00.560501Z",3828569.0,2.709,5.0,"Нравится качество работы сотрудников","2025-05-14T08:06:00.560501Z","","","","",""

1738,"1","Благодарю ребят.","2025-05-14T08:06:03.744731Z",3829748.0,1.726,5.0,"Нравится качество работы сотрудников","2025-05-14T08:06:03.744731Z","","","","",""

1739,"1","Спасибо большое ","2025-05-14T08:06:12.523241Z",3831509.0,5.419,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:06:12.523241Z","","","","",""

1740,"1","спасибо","2025-05-14T08:06:53.550382Z",3831883.0,34.853,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:06:53.550382Z","","","","",""

1741,"1","Спасибо!","2025-05-14T08:07:02.557549Z",3832952.0,7.975,5.0,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-14T08:07:02.557549Z","","","","",""

1742,"1","Проблема решена, ручки на окна поставили.

Спасибо за обратную связь!","2025-05-14T08:07:13.875698Z",3834081.0,8.753,5.0,"Нравится качество работы сотрудников","2025-05-14T08:07:13.875698Z","","","","",""

1743,"1","Благодарю за проделанную работу! ","2025-05-14T08:07:24.413881Z",3835748.0,9.173,5.0,"Нравится качество выполнения заявки","2025-05-14T08:07:24.413881Z","","","","",""

1744,"1","надеюсь и причину устранили, а то после первого дождя будет тоже самое..","2025-05-14T08:07:34.255060Z",3835874.0,7.883,5.0,"Другое","2025-05-14T08:07:34.255060Z","","","","",""

1745,"1","Спасибо, всё чётко.","2025-05-14T08:08:32.383937Z",3839647.0,16.521,5.0,"Понравилось выполнение заявки","2025-05-14T08:08:32.383937Z","","","","",""

1746,"1","Благодарю ","2025-05-14T08:08:40.519171Z",3840353.0,5.458,5.0,"Нравится скорость отработки заявок","2025-05-14T08:08:40.519171Z","","","","",""

1747,"1","Спасибо Сергей ! ))))","2025-05-14T08:08:45.549255Z",3841026.0,4.104,5.0,"Нравится качество работы сотрудников","2025-05-14T08:08:45.549255Z","","","","",""

1748,"1","Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)","2025-05-14T08:08:51.966300Z",3842440.0,3.707,5.0,"Нравится качество работы сотрудников","2025-05-14T08:08:51.967300Z","","","","",""

1749,"1","хоть что то сделали 👍👏","2025-05-14T08:08:57.568301Z",3842790.0,3.811,5.0,"Понравилось выполнение заявки","2025-05-14T08:08:57.568301Z","","","","",""

1750,"1","спасибо)","2025-05-14T08:09:04.966775Z",3843760.0,5.396,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:09:04.966775Z","","","","",""

1751,"1","профессионально, быстро. очень приятный мастер","2025-05-14T08:09:12.865775Z",3844645.0,6.199,5.0,"Нравится качество работы сотрудников","2025-05-14T08:09:12.865775Z","","","","",""

1752,"1","спасибо! ","2025-05-14T08:09:17.959709Z",3846820.0,2.783,5.0,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-14T08:09:17.959709Z","","","","",""

1753,"1","Спасибо, вопрос решили, всё стало нормально ","2025-05-14T08:09:47.678280Z",3846831.0,28.433,5.0,"Нравится качество выполнения заявки","2025-05-14T08:09:47.678280Z","","","","",""

1754,"1","Татьяна Владимировна большое вам спасибо!!!! ","2025-05-14T08:10:23.582416Z",3848236.0,27.447,5.0,"Нравится качество работы сотрудников","2025-05-14T08:10:23.582416Z","","","","",""

1755,"1","спасибо! ","2025-05-14T08:10:28.354382Z",3850021.0,3.715,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:10:28.354382Z","","","","",""

1756,"1","спасибо за  быстрый ответ! 





","2025-05-14T08:10:48.671377Z",3850118.0,16.253,1.0,"Вопрос решен","2025-05-14T08:10:48.671377Z","","","","",""

1757,"1","Огромное спасибо вам от всего подъезда!!!   )))))","2025-05-14T08:12:18.025684Z",3852179.0,10.148,5.0,"Понравилось выполнение заявки","2025-05-14T08:12:18.025684Z","","","","",""

1758,"1","спасибо!)","2025-05-14T08:12:24.053922Z",3852743.0,3.954,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:12:24.053922Z","","","","",""

1759,"1","спасибо ","2025-05-14T08:12:30.224985Z",3852975.0,4.929,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:12:30.224985Z","","","","",""

1760,"1","Все отлично ","2025-05-14T08:12:37.845988Z",3854073.0,4.051,5.0,"Вопрос решен","2025-05-14T08:12:37.845988Z","","","","",""

1761,"1","свершилось","2025-05-14T08:12:42.632265Z",3856028.0,3.671,1.0,"Вопрос решен","2025-05-14T08:12:42.632265Z","","","","",""

1762,"1","Спасибо мастеру ","2025-05-14T08:12:45.793263Z",3859764.0,2.055,5.0,"Нравится качество работы сотрудников","2025-05-14T08:12:45.793263Z","","","","",""

1763,"1","спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","2025-05-14T08:13:59.668247Z",3859780.0,51.387,5.0,"Нравится скорость отработки заявок","2025-05-14T08:13:59.668247Z","","","","",""

1764,"1","Среагировали быстро, благодарю ","2025-05-14T08:14:05.502436Z",3860248.0,3.236,5.0,"Вопрос решен","2025-05-14T08:14:05.502436Z","","","","",""

1765,"1","Спасибо за оперативность!","2025-05-14T08:14:13.002832Z",3860900.0,5.91,5.0,"Понравилось выполнение заявки","2025-05-14T08:14:13.002832Z","","","","",""

1766,"1","Отличный мастер!","2025-05-14T08:14:20.976752Z",3862448.0,6.006,5.0,"Нравится качество работы сотрудников","2025-05-14T08:14:20.976752Z","","","","",""

1767,"1","Спасибо! По крайней мере, по ночам пока шума не слышно.","2025-05-14T08:14:27.767995Z",3863351.0,5.14,5.0,"Вопрос решен","2025-05-14T08:14:27.767995Z","","","","",""

1768,"1","Быстро ","2025-05-14T08:14:35.177275Z",3863609.0,3.983,5.0,"Нравится качество выполнения заявки","2025-05-14T08:14:35.177275Z","","","","",""

1769,"1","Спасибо за своевременное выполнение заявки...","2025-05-14T08:14:50.248506Z",3866829.0,12.969,5.0,"Нравится качество выполнения заявки","2025-05-14T08:14:50.248506Z","","","","",""

1770,"1","все сделали быстро. спасибо ","2025-05-14T08:15:04.967259Z",3866867.0,13.866,5.0,"Понравилось выполнение заявки","2025-05-14T08:15:04.967259Z","","","","",""

1771,"1","всё отлично 👍","2025-05-14T08:16:09.737375Z",3868883.0,2.428,5.0,"Вопрос решен","2025-05-14T08:16:09.737375Z","","","","",""

1772,"1","Спасибо ","2025-05-14T08:16:14.761799Z",3871379.0,3.697,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:16:14.761799Z","","","","",""

1773,"1","Большое спасибо Александру,за оперативность и профессионализм ","2025-05-14T08:16:22.845065Z",3872124.0,4.312,5.0,"Нравится качество работы сотрудников","2025-05-14T08:16:22.845065Z","","","","",""

1774,"1","благодарю ","2025-05-14T08:16:49.285856Z",3872129.0,23.692,5.0,"Вопрос решен","2025-05-14T08:16:49.285856Z","","","","",""

1775,"1","оперативно и качественно. спасибо ","2025-05-14T08:16:55.185856Z",3873692.0,4.967,5.0,"Нравится качество выполнения заявки","2025-05-14T08:16:55.185856Z","","","","",""

1776,"1","Спасибо!","2025-05-14T08:17:01.992087Z",3874941.0,4.695,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:17:01.992087Z","","","","",""

1777,"1","благодарю, всего доброго!","2025-05-14T08:17:21.895651Z",3875262.0,17.947,5.0,"Понравилось выполнение заявки","2025-05-14T08:17:21.895651Z","","","","",""

1778,"1","спасибо","2025-05-14T08:17:29.628840Z",3876790.0,3.69,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:17:29.628840Z","","","","",""

1779,"1","Спасибо ","2025-05-14T08:17:33.490840Z",3876998.0,2.701,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:17:33.490840Z","","","","",""

1780,"1","Спасибо большое! ","2025-05-14T08:18:32.887425Z",3877186.0,4.516,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:18:32.887425Z","","","","",""

1781,"1","Спасибо!","2025-05-14T08:18:52.747241Z",3877315.0,18.627,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:18:52.747241Z","","","","",""

1782,"1","К мастеру вопросов нет.  ","2025-05-14T08:18:59.639240Z",3877334.0,4.199,3.0,"Вопрос решен","2025-05-14T08:18:59.639240Z","","","","",""

1783,"1","Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!","2025-05-14T08:19:05.055743Z",3877901.0,2.98,5.0,"Нравится качество работы сотрудников","2025-05-14T08:19:05.055743Z","","","","",""

1784,"1","вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","2025-05-14T08:19:10.404588Z",3878088.0,2.525,5.0,"Нравится качество работы сотрудников","2025-05-14T08:19:10.404588Z","","","","",""

1785,"1","спасибо большое! надолго ли🙄","2025-05-14T08:19:16.695591Z",3878555.0,3.793,5.0,"Вопрос решен","2025-05-14T08:19:16.695591Z","","","","",""

1786,"1","Огромное спасибо! ","2025-05-14T08:19:24.497590Z",3878808.0,5.893,5.0,"Понравилось выполнение заявки","2025-05-14T08:19:24.497590Z","","","","",""

1787,"1","Всё очень четко организовано! Большое спасибо за работу!","2025-05-14T08:22:30.616081Z",3879856.0,87.908,5.0,"Нравится скорость отработки заявок","2025-05-14T08:22:30.616081Z","","","","",""

1788,"1","Спасибо Вам большое и за дверь и за номера квартир!","2025-05-14T08:22:45.161487Z",3880345.0,13.139,5.0,"Нравится качество выполнения заявки","2025-05-14T08:22:45.161487Z","","","","",""

1789,"1","снимаю звезду за первую отписку без выполнения работ","2025-05-14T08:22:53.766876Z",3880717.0,3.19,3.0,"Другое","2025-05-14T08:22:53.766876Z","","","","",""

1790,"1","В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","2025-05-14T08:23:04.847967Z",3881004.0,8.801,5.0,"Нравится качество работы сотрудников","2025-05-14T08:23:04.847967Z","","","","",""

1791,"1","Спасибо!","2025-05-14T08:23:09.529025Z",3881432.0,2.862,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:23:09.529025Z","","","","",""

1792,"1","Спасибо! Все заработало ","2025-05-14T08:23:17.680113Z",3881460.0,6.906,5.0,"Понравилось выполнение заявки","2025-05-14T08:23:17.680113Z","","","","",""

1793,"1","спасибо, решили мой вопрос на месте в офисе ","2025-05-14T08:23:24.473669Z",3881636.0,5.169,5.0,"Нравится скорость отработки заявок","2025-05-14T08:23:24.473669Z","","","","",""

1794,"1","Спасибо больше Ольге Птушкине, за проделанную работу! ","2025-05-14T08:23:30.356725Z",3882840.0,3.277,5.0,"Нравится качество работы сотрудников","2025-05-14T08:23:30.356725Z","","","","",""

1795,"1","Спасибо ","2025-05-14T08:23:38.550725Z",3883049.0,6.182,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:23:38.550725Z","","","","",""

1796,"1","всё сделали хорошо, починили вовремя. наверное, молодцы.","2025-05-14T08:23:48.596288Z",3883200.0,9.042,5.0,"Понравилось выполнение заявки","2025-05-14T08:23:48.597290Z","","","","",""

1797,"1","Спасибо","2025-05-14T08:23:55.025353Z",3883457.0,2.471,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:23:55.026349Z","","","","",""

1798,"1","Супер! Спасибо!","2025-05-14T08:23:59.956282Z",3883549.0,2.813,5.0,"Вопрос решен","2025-05-14T08:23:59.956282Z","","","","",""

1799,"1","Отлично! Все выполнили как и обещали! ","2025-05-14T08:24:19.669032Z",3883658.0,18.253,5.0,"Нравится качество выполнения заявки","2025-05-14T08:24:19.669032Z","","","","",""

1800,"1","Очень оперативно. Спасибо большое ","2025-05-14T08:24:27.735130Z",3883736.0,5.66,5.0,"Понравилось выполнение заявки","2025-05-14T08:24:27.735130Z","","","","",""

1801,"1","Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","2025-05-14T08:24:35.312540Z",3883745.0,5.727,5.0,"Нравится качество работы сотрудников","2025-05-14T08:24:35.312540Z","","","","",""

1802,"1","Спасибо","2025-05-14T08:24:42.323547Z",3883823.0,5.813,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:24:42.323547Z","","","","",""

1803,"1","Спасибо ","2025-05-14T08:26:18.283643Z",3884705.0,14.55,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:26:18.283643Z","","","","",""

1804,"1","Умело подкрутили редукторы давления. Молодец!","2025-05-14T08:26:33.673701Z",3884964.0,12.832,5.0,"Нравится качество выполнения заявки","2025-05-14T08:26:33.673701Z","","","","",""

1805,"1","все хорошо,дверь практически бесшумно закрывается","2025-05-14T08:26:40.564977Z",3885089.0,4.815,5.0,"Нравится качество выполнения заявки","2025-05-14T08:26:40.564977Z","","","","",""

1806,"1","Спасибо ","2025-05-14T08:26:47.246102Z",3885291.0,4.783,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:26:47.246102Z","","","","",""

1807,"1","проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","2025-05-14T08:27:01.013848Z",3886150.0,11.446,5.0,"Понравилось выполнение заявки","2025-05-14T08:27:01.013848Z","","","","",""

1808,"1","быстро, чётко, без проблем. одно слово - мастер! ","2025-05-14T08:27:10.323918Z",3886231.0,6.336,5.0,"Понравилось выполнение заявки","2025-05-14T08:27:10.323918Z","","","","",""

1809,"1","Работает. Спасибо!","2025-05-14T08:27:31.687560Z",3886721.0,19.497,5.0,"Вопрос решен","2025-05-14T08:27:31.687560Z","","","","",""

1810,"1","сегодня ездил, все исправно работает, спасибо!","2025-05-14T08:27:40.483593Z",3886923.0,7.095,5.0,"Понравилось выполнение заявки","2025-05-14T08:27:40.483593Z","","","","",""

1811,"1","Спасибо большое, всё понятно.","2025-05-14T08:28:02.352758Z",3886937.0,19.469,5.0,"Вопрос решен","2025-05-14T08:28:02.352758Z","","","","",""

1812,"1","Татьяна спасибо ❤️","2025-05-14T08:28:06.147749Z",3887002.0,3.096,5.0,"Нравится качество работы сотрудников","2025-05-14T08:28:06.147749Z","","","","",""

1813,"1","На вопрос ответили. Крепления нельзя повесить в колясочной","2025-05-14T08:28:19.500057Z",3887203.0,8.732,5.0,"Другое","2025-05-14T08:28:19.500057Z","","","","",""

1814,"1","Большое спасибо!","2025-05-14T08:28:35.184231Z",3887228.0,11.849,5.0,"Вопрос решен","2025-05-14T08:28:35.184231Z","","","","",""

1815,"1","Лучший ","2025-05-14T08:42:49.219423Z",3887353.0,846.669,5.0,"Вопрос решен","2025-05-14T08:42:49.219423Z","","","","",""

1816,"1","спасибо за оперативность ","2025-05-14T08:44:06.177803Z",3887358.0,74.186,5.0,"Понравилось выполнение заявки","2025-05-14T08:44:06.177803Z","","","","",""

1817,"1","спасибо ","2025-05-14T08:44:23.944767Z",3887389.0,10.543,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:44:23.944767Z","","","","",""

1818,"1","спасибо за то что быстро отреагировали","2025-05-14T08:44:30.056699Z",3887392.0,4.745,5.0,"Нравится скорость отработки заявок","2025-05-14T08:44:30.056699Z","","","","",""

1819,"1","Сервис на высоте, мастер - профессионал","2025-05-14T08:44:37.325699Z",3887422.0,4.576,5.0,"Нравится качество работы сотрудников","2025-05-14T08:44:37.325699Z","","","","",""

1820,"1","спасибо","2025-05-14T08:45:13.009005Z",3887496.0,4.229,5.0,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-14T08:45:13.009005Z","","","","",""

